t_idx,best_total_cost
1179,0.944917
1180,0.991157
1181,0.999468
1182,0.970471
1183,0.990974
1184,1.00689
1185,1.00968
1186,1.01059
1187,0.985566
1188,1.00593
1189,0.962426
1190,1.012
1191,1.00207
1192,1.02623
1193,0.976442
1194,1.02964
1195,0.946928
1196,1.01787
1197,0.987267
1198,0.987958
1199,0.934645
1200,0.949699
1201,0.927078
1202,0.960467
1203,0.98185
1204,1.01439
1205,1.007
1206,1.00224
1207,1.04984
1208,1.03492
1209,1.03227
1210,1.01051
1211,1.0152
1212,1.03976
1213,0.986591
1214,1.01591
1215,1.0797
1216,1.06139
1217,1.01496
1218,1.06171
1219,1.08137
1220,1.06683
1221,1.04163
1222,1.03261
1223,1.0662
1224,1.04784
1225,1.0387
1226,1.03315
1227,1.05154
1228,1.02587
1229,1.02761
1230,0.999639
1231,1.05598
1232,1.01469
1233,0.993783
1234,1.03091
1235,1.0209
1236,0.96682
1237,0.979556
1238,0.995163
1239,0.999966
1240,1.0137
1241,0.986776
1242,1.00062
1243,0.981038
1244,0.97691
1245,0.986891
1246,0.971085
1247,0.950617
1248,1.01074
1249,1.1237
1250,1.21636
1251,1.25142
1252,1.26479
1253,1.26477
1254,1.26908
1255,1.2667
1256,1.26808
1257,1.26946
1258,1.2681
1259,1.26764
1260,1.26601
1261,1.26691
1262,1.26976
1263,1.27022
1264,1.26929
1265,1.26929
1266,1.26735
1267,1.26781
1268,1.29479
1269,1.23832
1270,1.26392
1271,1.28249
1272,1.27646
1273,1.27324
1274,1.26947
1275,1.26947
1276,1.26991
1277,1.26991
1278,1.26945
1279,1.26992
1280,1.2699
1281,1.2699
1282,1.26989
1283,1.26989
1284,1.26908
1285,1.26909
1286,1.26942
1287,1.26989
1288,1.26989
1289,1.26942
1290,1.26907
1291,1.26954
1292,1.26941
1293,1.26986
1294,1.26941
1295,1.26941
1296,1.26906
1297,1.26953
1298,1.2673
1299,1.26776
1300,1.26906
1301,1.26953
1302,1.26776
1303,1.2673
1304,1.26987
1305,1.2694
1306,1.26952
1307,1.26906
1308,1.26906
1309,1.26906
1310,1.26906
1311,1.26906
1312,1.26906
1313,1.26906
1314,1.26951
1315,1.26906
1316,1.26985
1317,1.2694
1318,1.2694
1319,1.2694
1320,1.2694
1321,1.2694
1322,1.2694
