t_idx,stamp_sec,x,y,yaw,vx,wz,frame_id
266,1756708112.017146,4.511943,0.671154,0.224614,0.087741,0.545463,"odom"
267,1756708112.083789,4.530708,0.665542,0.257650,0.090170,0.570068,"odom"
268,1756708112.150646,4.538913,0.657685,0.296276,0.093167,0.558387,"odom"
269,1756708112.217119,4.546038,0.660042,0.336294,0.083381,0.549841,"odom"
270,1756708112.283819,4.567051,0.645370,0.366765,0.060900,0.542325,"odom"
271,1756708112.350493,4.577014,0.637664,0.402829,0.062497,0.519985,"odom"
272,1756708112.417179,4.581694,0.639779,0.439063,0.061373,0.494551,"odom"
273,1756708112.483900,4.589729,0.640496,0.468014,0.052875,0.483865,"odom"
274,1756708112.550479,4.600562,0.632966,0.503780,0.067038,0.558468,"odom"
275,1756708112.617118,4.605159,0.635662,0.549776,0.063028,0.679680,"odom"
276,1756708112.683847,4.616539,0.618869,0.588653,0.062609,0.684058,"odom"
277,1756708112.750481,4.627108,0.610894,0.637779,0.072044,0.709613,"odom"
278,1756708112.817142,4.631291,0.614178,0.686448,0.057176,0.658328,"odom"
279,1756708112.883811,4.642345,0.596575,0.717333,0.050164,0.492187,"odom"
280,1756708112.950457,4.665686,0.581665,0.745017,0.034935,0.382625,"odom"
281,1756708113.017161,4.667859,0.583729,0.769904,0.035768,0.346293,"odom"
282,1756708113.083827,4.668148,0.573866,0.790689,0.034463,0.360261,"odom"
283,1756708113.151295,4.688852,0.576525,0.816340,0.027855,0.381552,"odom"
284,1756708113.217125,4.690495,0.578329,0.842651,0.029270,0.368828,"odom"
285,1756708113.283878,4.691326,0.568903,0.864536,0.030214,0.362387,"odom"
286,1756708113.350476,4.692907,0.570815,0.890717,0.030686,0.368823,"odom"
287,1756708113.417113,4.716835,0.556194,0.915885,0.026910,0.367777,"odom"
288,1756708113.483849,4.727108,0.557253,0.936280,0.029742,0.334617,"odom"
289,1756708113.550454,4.725062,0.565231,0.960076,0.029270,0.329384,"odom"
290,1756708113.617121,4.726525,0.567384,0.983427,0.030145,0.338980,"odom"
291,1756708113.683791,4.736630,0.568183,1.003112,0.031158,0.328338,"odom"
292,1756708113.750470,4.748478,0.560454,1.025868,0.031158,0.337929,"odom"
293,1756708113.817122,4.749781,0.562674,1.050177,0.031158,0.351715,"odom"
294,1756708113.883801,4.749057,0.561480,1.071902,0.032575,0.359218,"odom"
295,1756708113.950734,4.757898,0.571085,1.096762,0.037296,0.346293,"odom"
296,1756708114.017143,4.759209,0.573731,1.119663,0.040391,0.319818,"odom"
297,1756708114.083903,4.771422,0.566609,1.137577,0.089226,0.278270,"odom"
298,1756708114.150472,4.780427,0.576379,1.154567,0.155251,0.181334,"odom"
299,1756708114.217153,4.785037,0.587012,1.164644,0.160598,0.097275,"odom"
300,1756708114.283794,4.794522,0.573439,1.166181,0.178994,0.082229,"odom"
301,1756708114.350480,4.791509,0.578650,1.174075,0.184728,0.097050,"odom"
302,1756708114.417131,4.797600,0.593354,1.180813,0.193560,0.091806,"odom"
303,1756708114.483795,4.803607,0.595924,1.184174,0.193687,0.078016,"odom"
304,1756708114.550460,4.805790,0.626181,1.193510,0.213680,0.093893,"odom"
305,1756708114.617121,4.812629,0.643623,1.199867,0.215276,0.086393,"odom"
306,1756708114.683825,4.814978,0.661694,1.205493,0.210136,0.047125,"odom"
307,1756708114.750578,4.818472,0.682260,1.206125,0.202238,-0.042426,"odom"
308,1756708114.817147,4.824488,0.697917,1.202501,0.200392,-0.052017,"odom"
309,1756708114.883924,4.827447,0.717016,1.200736,0.209139,-0.048709,"odom"
310,1756708114.950464,4.821930,0.728051,1.200129,0.238163,-0.058286,"odom"
311,1756708115.017114,4.828618,0.745151,1.196700,0.209611,-0.038056,"odom"
312,1756708115.083808,4.842025,0.765027,1.192613,0.210109,-0.043455,"odom"
313,1756708115.150458,4.835144,0.772740,1.192809,0.238523,-0.047661,"odom"
314,1756708115.217161,4.841765,0.789307,1.188906,0.213483,-0.056212,"odom"
315,1756708115.283825,4.845155,0.809855,1.187330,0.206015,-0.046611,"odom"
316,1756708115.350617,4.849374,0.820090,1.183621,0.278520,-0.060732,"odom"
317,1756708115.417113,4.857232,0.839097,1.176062,0.256168,-0.108458,"odom"
318,1756708115.483825,4.876265,0.835530,1.160468,0.266725,-0.133031,"odom"
319,1756708115.551670,4.877425,0.863569,1.154541,0.277763,-0.154317,"odom"
320,1756708115.617405,4.887433,0.885775,1.142049,0.294949,-0.195843,"odom"
321,1756708115.683906,4.872622,0.925341,1.143806,0.294546,-0.193764,"odom"
322,1756708115.750471,4.891882,0.911261,1.118767,0.291618,-0.209647,"odom"
323,1756708115.817160,4.902689,0.933004,1.103058,0.290340,-0.224652,"odom"
324,1756708115.883821,4.893941,0.938333,1.094494,0.297241,-0.212970,"odom"
325,1756708115.950467,4.893995,0.977259,1.087908,0.295936,-0.207533,"odom"
326,1756708116.017137,4.905512,0.998750,1.072119,0.292700,-0.245941,"odom"
327,1756708116.083872,4.911833,1.030777,1.060923,0.290005,-0.271404,"odom"
328,1756708116.150483,4.898894,1.064581,1.053765,0.299946,-0.285368,"odom"
329,1756708116.217146,4.911319,1.085859,1.033993,0.290949,-0.275784,"odom"
330,1756708116.283849,4.907775,1.119198,1.026002,0.298837,-0.284159,"odom"
331,1756708116.350494,4.909899,1.117773,1.004606,0.287531,-0.287460,"odom"
332,1756708116.417155,4.922823,1.137596,0.984138,0.281550,-0.293752,"odom"
333,1756708116.483893,4.948848,1.143301,0.959201,0.281534,-0.283106,"odom"
334,1756708116.550460,4.946533,1.180315,0.948626,0.280563,-0.300012,"odom"
335,1756708116.617110,4.960690,1.199562,0.927886,0.285619,-0.287288,"odom"
336,1756708116.683797,4.959113,1.216418,0.915486,0.280580,-0.282056,"odom"
337,1756708116.750459,4.956333,1.253733,0.906700,0.287979,-0.268275,"odom"
338,1756708116.817150,4.971363,1.272503,0.887360,0.284563,-0.283097,"odom"
339,1756708116.883800,4.984110,1.285647,0.869406,0.294349,-0.287291,"odom"
